year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2015,10,0.03971968,-0.6055,0.03971968,0,0.05567073,-0.01595105
2015,11,0,0,0,0,0,0
2015,12,0.02448184,0.13922,0,0.02448184,0.00400708,0.02047476
2016,1,-0.02751435,-0.36597,-0,-0.02751435,0.00788727,-0.03540162
2016,2,0,0,0,0,0,0
2016,3,-0.08519224,0.26709,-0.08519224,-0,-0.05839254,-0.0267997
2016,4,0.01075061,0.24476,0,0.01075061,-0.00910046,0.01985107
2016,5,0,0,0,0,0,0
2016,6,-0.04285424,-0.04467,-0,-0.04285424,-0.01878522,-0.02406902
2016,7,0.00514028,0.21188,0,0.00514028,-0.00996101,0.01510129
2016,8,0,0,0,0,0,0
2016,9,-0.03527646,0.29354,-0.03527646,-0,-0.03499897,-0.00027749
2016,10,0,0,0,0,0,0
2016,11,0.00331647,0.06189,0,0.00331647,-0.00200211,0.00531858
2016,12,0.03712366,-0.24159,0.03712366,0,0.03285011,0.00427355
2017,1,0,0,0,0,0,0
2017,2,-0.02051911,0.16147,-0.02051911,-0,-0.01980932,-0.00070979
2017,3,-0.04693258,0.28177,-0.04693258,-0,-0.04013092,-0.00680166
2017,4,0,0,0,0,0,0
2017,5,0.01381378,0.03859,0,0.01381378,0.00462457,0.00918921
2017,6,0.01913702,-0.0406,0.01913702,0,0.0119697,0.00716732
2017,7,-0.01319881,0.02098,-0.01319881,-0,-0.00784022,-0.00535859
2017,8,0,0,0,0,0,0
2017,9,0.04200895,-0.14615,0.04200895,0,0.02964818,0.01236077
2017,10,0,0,0,0,0,0
2017,11,0.00182186,0.08571,0,0.00182186,-0.00415819,0.00598005
2017,12,-0.00584415,0.07573,-0.00584415,-0,-0.00740095,0.0015568
2018,1,0.00513021,-0.10361,0.00513021,0,0.00869288,-0.00356267
2018,2,0,0,0,0,0,0
2018,3,-0.00152057,0.3479,-0.00152057,-0,-0.02133602,0.01981545
2018,4,0,0,0,0,0,0
2018,5,-0.00520895,0.1428,-0.00520895,-0,-0.01105005,0.0058411
2018,6,0.01793146,-0.13533,0.01793146,0,0.01696951,0.00096195
2018,7,0,0,0,0,0,0
2018,8,-0.00297867,0.02134,-0.00297867,-0,-0.00275144,-0.00022723
2018,9,0.001063,0.22624,0,0.001063,-0.01284894,0.01391194
2018,10,0,0,0,0,0,0
2018,11,0.00416709,0.09441,0,0.00416709,-0.00350011,0.0076672
2018,12,0.02319353,-0.94125,0.02319353,0,0.06726481,-0.04407128
2019,1,-0.02494451,0.77383,-0.02494451,-0,-0.05823863,0.03329412
2019,2,0,0,0,0,0,0
2019,3,-0.03277562,0.50599,-0.03277562,-0,-0.04631341,0.01353779
2019,4,0,0,0,0,0,0
2019,5,-0.04719874,0.20476,-0.04719874,-0,-0.03570942,-0.01148932
2019,6,-0.06827621,0.23767,-0.06827621,-0,-0.04819454,-0.02008167
2019,7,0.04801467,-0.13745,0.04801467,0,0.0321365,0.01587817
2019,8,0,0,0,0,0,0
2019,9,0.03148517,-0.37358,0.03148517,0,0.03783711,-0.00635194
2019,10,0.01160735,0.34921,-0.0020114,0.01361875,-0.01484954,0.02645689
2019,11,0,0,0,0,0,0
2019,12,-0.00362073,0.16766,-0.00362073,-0,-0.01172623,0.0081055
2020,1,0.00889675,0.02827,0,0.00889675,0.00277641,0.00612034
2020,2,0,0,0,0,0,0
2020,3,-0.19555916,NaN,-0.16491989,-0,NaN,NaN
2020,4,-0.01422855,-0.18878,-0,-0.01422855,0.00405068,-0.01827923
2020,5,0,0,0,0,0,0
2020,6,-0.00227921,0.59258,-0.00227921,-0,-0.03618637,0.03390716
2020,7,-0.0041468,0.06893,-0.0041468,-0,-0.0061501,0.0020033
2020,8,0,0,0,0,0,0
2020,9,-0.00094649,0.40618,-0.00094649,-0,-0.02449582,0.02354933
2020,10,0,0,0,0,0,0
2020,11,-0.00110668,0.0341,-0.00110668,-0,-0.00257011,0.00146343
2020,12,0.00025959,-0.16237,0.00025959,0,0.00973279,-0.0094732
2021,1,0.00178298,-0.34152,0.00178298,0,0.0210899,-0.01930692
2021,2,0,0,0,0,0,0
2021,3,-0.00816395,0.53485,-0.00816395,-0,-0.03571443,0.02755048
2021,4,-0.00450365,0.05755,-0.00450365,-0,-0.00565549,0.00115184
2021,5,0,0,0,0,0,0
2021,6,0.02260112,-0.49477,0.02260112,0,0.04056258,-0.01796146
2021,7,0.00221336,0.18406,0,0.00221336,-0.00977912,0.01199248
2021,8,0,0,0,0,0,0
2021,9,0,0.37317,0,0,-0.02207027,0.02207027
2021,10,0,0,0,0,0,0
2021,11,0.00596157,0.23372,0,0.00596157,-0.01084204,0.01680361
2021,12,0.03552127,0.62031,0,0.03552127,-0.01892616,0.05444743
2022,1,-0.00795803,-0.2151,-0,-0.00795803,0.00874257,-0.0167006
2022,2,0,0,0,0,0,0
2022,3,0.09831256,-0.74763,0.09831256,0,0.09337312,0.00493944
2022,4,0,0,0,0,0,0
2022,5,-0.03187379,-0.14965,-0,-0.03187379,-0.00708619,-0.0247876
2022,6,0.0764084,-0.12554,0.0764084,0,0.04562897,0.03077943
2022,7,-0.00573564,0.05081,-0.00573564,-0,-0.00587286,0.00013722
2022,8,0,0,0,0,0,0
2022,9,0.09164352,-1.35205,0.09164352,0,0.12578561,-0.03414209
2022,10,0,0,0,0,0,0
2022,11,-0.07652252,0.70408,-0.07652252,-0,-0.07990243,0.00337991
2022,12,0.08745958,-1.14497,0.08745958,0,0.11144638,-0.0239868
2023,1,0,0,0,0,0,0
2023,2,0.01037026,0.13746,0,0.01037026,-0.00294462,0.01331488
2023,3,-0.02787335,0.28513,-0.02787335,-0,-0.03080003,0.00292668
2023,4,0,0,0,0,0,0
2023,5,0.01850483,0.11806,0,0.01850483,0.00227003,0.0162348
2023,6,0.05250713,-0.69926,0.05250713,0,0.06760967,-0.01510254
2023,7,0.00397215,0.08908,0,0.00397215,-0.00328235,0.0072545
2023,8,0,0,0,0,0,0
2023,9,0.05132388,-0.17053,0.05132388,0,0.03574754,0.01557634
2023,10,0,0,0,0,0,0
2023,11,-0.013891,0.01259,-0.013891,-0,-0.00769011,-0.00620089
2023,12,-0.05166427,0.66225,-0.05166427,-0,-0.06499937,0.0133351
2024,1,0.02135303,-0.30595,0.02135303,0,0.02877122,-0.00741819
